/* The following point coordinates were taken from Google Maps. They provide thegeodata for the geometries and vector layer created for educational purposes by me for my tutorial "Geospatial Analysis with Scala". 
@author: Roxana Tesileanu
*/ 

//points for Tampa Hill, BV, entered clockwise
45.631118, 25.583995
45.632863, 25.586184
45.633955, 25.586698
45.634345, 25.587706
45.636370, 25.589595
45.636730, 25.589423
45.639431, 25.593006
45.642450, 25.598735
45.642083, 25.603038
45.640676, 25.607061
45.639738, 25.607404
45.638925, 25.607131
45.636318, 25.604551
45.634559, 25.602963
45.633002, 25.602048
45.630514, 25.597860
45.630139, 25.596379
45.629801, 25.596057
45.629043, 25.596454
45.627693, 25.595639
45.627115, 25.594705
45.626380, 25.595060
45.625577, 25.594877
45.62622, 25.592055
45.626215, 25.589502
45.627325, 25.589545
45.628361, 25.589137
45.629576, 25.587421
45.631077, 25.583880

// road Valea Racadau, BV
45.612195, 25.588475
45.614445, 25.590527
45.620019, 25.594370
45.623190, 25.594629
45.625304, 25.595018
45.626392, 25.595363
45.626890, 25.595169
45.627222, 25.595623
45.628853, 25.597199
45.628929, 25.597285
45.629729, 25.599574
45.629442, 25.600114
45.630016, 25.601280
45.630590, 25.603785
45.631979, 25.606290
45.633806, 25.609572
45.637007, 25.611947
45.636780, 25.614906
45.636146, 25.618339

//road zona Carpatilor, BV
45.636539, 25.618857
45.633428, 25.620369
45.632975, 25.619160
45.631299, 25.620088
45.631888, 25.623327
45.630529, 25.624105
45.629789, 25.622442
45.627494, 25.622463
45.628023, 25.618209

//road zona spre Noua, BV
45.628627, 25.624364
45.624866, 25.629071
45.627011, 25.633951
45.623432, 25.635506
45.622359, 25.634275
45.619671, 25.631036
45.619626, 25.624752
45.620547, 25.622507

//points for Padurea Noua, BV, entered clockwise
45.612222, 25.589546
45.621849, 25.595210
45.626304, 25.597557
45.629890, 25.602105
45.632456, 25.609955
45.633898, 25.610253
45.635462, 25.612225
45.636364, 25.615346
45.635233, 25.616744
45.631935, 25.617357
45.629894, 25.621671
45.627750, 25.621804
45.628823, 25.617216
45.627631, 25.617099
45.626265, 25.618057
45.626477, 25.619801
45.625147, 25.621939
45.625546, 25.625259
45.623579, 25.626994
45.623868, 25.629202
45.622561, 25.632379
45.620556, 25.630997
45.620293, 25.626782
45.622734, 25.621884
45.621789, 25.618871
45.619452, 25.621083
45.618350, 25.625433
45.616194, 25.625733
45.613602, 25.628569
45.611492, 25.629284
45.602445, 25.618537
45.606375, 25.590345

//imaginary GPS-track
45.617797, 25.612945
45.620919, 25.618952
45.618454, 25.608328
45.622381, 25.619041
45.620180, 25.603591
45.617171, 25.585708
45.622910, 25.586664
45.633693, 25.596202

//points for Saua Gorita spre Postavaru

45.610059, 25.586784
45.621180, 25.560753
45.627951, 25.569719
45.627187, 25.577856
45.627582, 25.579325
45.630980, 25.583281
45.631979, 25.606290
45.629479, 25.587688
45.628346, 25.589346
45.626449, 25.589949
45.625579, 25.594658
45.615251, 25.590175

































